Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources,geometry,index_right,GEOID_20,TRACT_20_N,AREA_SQMI
ELEC,PSS CHARGEPOINT PSS #1,807 Rainier Ave S,on Rainier in front of PSS warehouse building,Seattle,WA,98144,,888-758-4389,T,2023-06-13,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.595392,-122.311507,2024-12-09,78231,2024-12-09 00:42:54 UTC,,,,2016-09-01,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.311507 47.595392),134.0,53033009400,Census Tract 94,0.651064109786
ELEC,DUAL EV SOUTH 1,2616 NE 46th St,"South Bldg, level C",Seattle,WA,98105,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.661471,-122.299298,2024-12-09,79670,2024-12-09 00:46:06 UTC,,,,2016-11-10,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.299298 47.661471),52.0,53033004301,Census Tract 43.01,0.378062606685
ELEC,KING COUNTY DES KSC STATION #5,253-295 S Jackson St,,Seattle,WA,98104,,888-758-4389,E,,Public,24 hours daily,,,,,,1.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.599,-122.330804,2024-12-09,79748,2024-12-09 00:44:29 UTC,,,,2016-11-16,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.330804 47.599),133.0,53033009300,Census Tract 93,3.89300400897
ELEC,RPNW PSP-COBB #2,1325 4th Ave,Inside Union Street entrance. First spaces on the left after you pass the gate arms.,Seattle,WA,98101,,888-758-4389,T,2022-09-09,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.60872,-122.336023,2024-12-09,79957,2024-12-09 00:45:25 UTC,,,,2016-11-23,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.336023 47.60872),120.0,53033008102,Census Tract 81.02,0.250155997697
ELEC,400 DEXTER AVE 400 DEXTER 1,400 Dexter Ave N,SW Corner od P2,Seattle,WA,98109,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.622264,-122.342164,2024-12-09,86014,2024-12-09 00:47:46 UTC,,,,2017-07-22,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.342164 47.622264),100.0,53033007203,Census Tract 72.03,0.223786334359
ELEC,RPNW IBM #1,1200 5th Ave,,Seattle,WA,98101,,888-758-4389,T,2022-09-09,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.608495,-122.333054,2024-12-09,86298,2024-12-09 00:49:49 UTC,,,,2017-08-11,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.333054 47.608495),121.0,53033008200,Census Tract 82,0.145086297145
ELEC,DUAL EV SOUTH 2,2623 NE University Village St,"South Bldg, Level C",Seattle,WA,98105,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.661361,-122.298284,2024-12-09,88696,2024-12-09 00:45:24 UTC,,,,2017-12-05,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.298284 47.661361),52.0,53033004301,Census Tract 43.01,0.378062606685
ELEC,RPNW FC #1,319 University St,,Seattle,WA,98101,,888-758-4389,T,2022-09-09,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.608017,-122.335273,2024-12-09,94715,2024-12-09 00:50:05 UTC,,,,2018-04-07,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.335273 47.608017),120.0,53033008102,Census Tract 81.02,0.250155997697
ELEC,First Hill Medical Building,515 Minor Ave,,Seattle,WA,98104,,888-998-2546,T,2024-11-02,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,1.0,,,Blink Network,http://www.blinkcharging.com/,GPS,47.60636,-122.321639,2024-12-09,95703,2024-12-09 00:11:38 UTC,,,,2015-07-16,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,,POINT (-122.321639 47.60636),125.0,53033008500,Census Tract 85,0.174117643765
ELEC,520 Pike Tower,520 Pike St.,,Seattle,WA,98101,,888-998-2546,E,,Public,24 hours daily,,,,,,4.0,,,Blink Network,http://www.blinkcharging.com/,GPS,47.611102,-122.334893,2024-12-09,96348,2024-12-09 00:14:56 UTC,,,,2017-06-03,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,,POINT (-122.334893 47.611102),121.0,53033008200,Census Tract 82,0.145086297145
ELEC,Lake Union Building,1700 Westlake Ave N,,Seattle,WA,98109,,888-998-2546,E,,Public,24 hours daily,,,,,,2.0,,,Blink Network,http://www.blinkcharging.com/,GPS,47.633992,-122.339684,2024-12-09,96480,2024-12-09 00:11:37 UTC,,,,2012-06-18,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,,POINT (-122.339684 47.633992),89.0,53033006701,Census Tract 67.01,0.187519597061
ELEC,DC CORRIDOR SO SEATTLE COL,6000 16th Ave SW,,Seattle,WA,98106,,888-758-4389,T,2023-10-11,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,,1.0,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.547708,-122.352708,2024-12-09,96763,2024-12-09 00:45:02 UTC,,,,2018-04-24,,,,,CHADEMO J1772COMBO,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.352708 47.547708),157.0,53033010800,Census Tract 108,1.72319721488
ELEC,DC CORRIDOR N SEA COLLEGE,9600 College Way N,Public Hours: 7am-10:30pm everyday,Seattle,WA,98103,,888-758-4389,E,,Public,24 hours daily,,,,,,,1.0,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.699227,-122.334626,2024-12-09,98770,2024-12-09 00:44:27 UTC,,,,2018-06-07,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.334626 47.699227),25.0,53033001900,Census Tract 19,0.643694456142
ELEC,North Beacon Hill,2535 16th Ave S,,Seattle,WA,98144,,855-900-7584,E,,Public,24 hours daily,,,,,,,2.0,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,200-8,47.58002,-122.312203,2024-12-09,99282,2024-12-09 02:52:40 UTC,,,,2018-06-14,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.312203 47.58002),143.0,53033010002,Census Tract 100.02,0.366041295252
ELEC,DC CORRIDOR SEAHAWK 12A,338 Weller St Bridge,"Note due to COVID, hours are restricted to 6am to 7pm Mon-Fri. Closed Weekends.",Seattle,WA,98134,,888-758-4389,T,2022-09-09,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,,1.0,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.597446,-122.330456,2024-12-09,99591,2024-12-09 00:44:17 UTC,,,,2018-07-04,,,,,CHADEMO J1772COMBO,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.330456 47.597446),133.0,53033009300,Census Tract 93,3.89300400897
ELEC,DC CORRIDOR NORTHGATE DC1,9800 4th Ave NE,,Seattle,WA,98115,,888-758-4389,T,2022-09-18,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,,1.0,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.700774,-122.323775,2024-12-09,103573,2024-12-09 00:44:15 UTC,,,,2018-09-27,,,,,CHADEMO J1772COMBO,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.323775 47.700774),25.0,53033001900,Census Tract 19,0.643694456142
ELEC,1101 WESTLAKE FB WESTLAKE 2,1101 Westlake Ave N,,Seattle,WA,98109,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.6289,-122.341536,2024-12-09,103654,2024-12-09 00:48:44 UTC,,,,2018-09-29,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.341536 47.6289),89.0,53033006701,Census Tract 67.01,0.187519597061
ELEC,AMLI MARK 24 MARK 24 1,2428 NW Market St,"Use Market St. Entrance, level 1, in the retail parking area",Seattle,WA,98107,,888-758-4389,T,2023-08-06,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.668955,-122.388808,2024-12-09,104162,2024-12-09 00:33:31 UTC,,,,2018-10-15,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.388808 47.668955),37.0,53033003201,Census Tract 32.01,0.967660593889
ELEC,DC CORRIDOR SEATTLE MINI,11536 Lake City Way NE,,Seattle,WA,98125,,888-758-4389,E,,Public,24 hours daily,,,,,,,1.0,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.713224,-122.298415,2024-12-09,104285,2024-12-09 00:44:15 UTC,,,,2018-10-20,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.298415 47.713224),11.0,53033000700,Census Tract 7,0.499750430274
ELEC,DC CORRIDOR PAC SCI L2,200 2nd Ave N,Parking garage top level,Seattle,WA,98109,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.619056,-122.352371,2024-12-09,104286,2024-12-09 01:16:05 UTC,,,,2018-10-20,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.352371 47.619056),96.0,53033007101,Census Tract 71.01,0.191132726679
ELEC,BMGF BMGF EV 02,500 5th Ave N,Restricted parking garage. Station is located on parking level P1.,Seattle,WA,98109,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.623424,-122.345872,2024-12-09,104381,2024-12-09 00:57:12 UTC,,,,2018-10-26,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.345872 47.623424),100.0,53033007203,Census Tract 72.03,0.223786334359
ELEC,Bedrooms & More,324 NE 45th St,,Seattle,WA,98105,,206-633-4494,E,,Public,"9am-8pm M-F, 9am-6pm Sat, 10am-6pm Sun; for customer use only",,,,,,1.0,,,Non-Networked,,200-9,47.661582,-122.32426,2023-06-12,104475,2024-01-31 22:07:01 UTC,P,,,2018-10-01,,,,,J1772,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free for customers,,,,,,,,,,True,,,,,,,,LD,False,,POINT (-122.32426 47.661582),66.0,53033005201,Census Tract 52.01,0.298409636301
ELEC,INSIGNIA 953 215 216,583 Battery St,Located in locked parking garage,Seattle,WA,98121,,888-758-4389,T,2024-08-22,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.616992,-122.343984,2024-12-09,105150,2024-12-09 00:44:52 UTC,,,,2018-12-08,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,POINT (-122.343984 47.616992),98.0,53033007201,Census Tract 72.01,0.0582012920532
ELEC,Thompson Seattle - Tesla Destination,100 Stewart St,,Seattle,WA,98101,,877-798-3752,E,,Public,,,,,,,2.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,47.610335,-122.341261,2024-07-01,116121,2024-10-16 16:58:41 UTC,P,,,2016-12-27,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,,POINT (-122.341261 47.610335),119.0,53033008101,Census Tract 81.01,0.211574177716
ELEC,Hotel 1000 - Tesla Destination,1000 1st Ave,,Seattle,WA,98104,,877-798-3752,E,,Public,,,,,,,3.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,47.604904,-122.336189,2024-07-01,116122,2024-10-16 16:58:41 UTC,P,,,2016-01-28,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,,POINT (-122.336189 47.604904),120.0,53033008102,Census Tract 81.02,0.250155997697
ELEC,Motif Seattle - Tesla Destination,1415 5th Ave,,Seattle,WA,98101,,877-798-3752,E,,Public,,,,,,,4.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,47.610166,-122.335179,2024-07-01,116123,2024-10-16 16:58:41 UTC,P,,,2015-10-16,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,,POINT (-122.335179 47.610166),120.0,53033008102,Census Tract 81.02,0.250155997697
ELEC,Hotel Theodore - Tesla Destination,1531 7th Ave,,Seattle,WA,98101,,877-798-3752,E,,Public,,,,,,,3.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,47.612347,-122.334168,2024-07-01,116124,2024-10-16 16:58:41 UTC,P,,,2019-01-23,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,,POINT (-122.334168 47.612347),121.0,53033008200,Census Tract 82,0.145086297145
ELEC,Seattle Marriott Waterfront - Tesla Destination,2100 Alaskan Way,,Seattle,WA,98121,,877-798-3752,E,,Public,,,,,,,3.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,47.610845,-122.347258,2024-07-01,116126,2024-10-16 16:58:41 UTC,P,,,2015-04-28,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,,POINT (-122.347258 47.610845),116.0,53033008002,Census Tract 80.02,0.0904653713503
ELEC,Bedrooms & More - Tesla Destination,324 NE 45th St,,Seattle,WA,98105,,877-798-3752,E,,Public,,,,,,,2.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,47.661523,-122.324913,2024-07-01,116128,2024-10-16 16:58:41 UTC,P,,,2018-10-12,,,,,TESLA,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,,POINT (-122.324913 47.661523),66.0,53033005201,Census Tract 52.01,0.298409636301
